fold,method,feature_count,features,f1,balanced_accuracy,roc_auc
1,MI,4,"['dttl', 'dbytes', 'sttl', 'sbytes']",0.8928171736697528,0.840756973931434,0.8484864516936685
1,ANOVA,4,"['ct_dst_sport_ltm', 'dload', 'ct_state_ttl', 'sttl']",0.8760748227485292,0.8061076256637628,0.9174956852068711
1,L1,4,"['swin', 'dttl', 'proto', 'dload']",0.9221523014919041,0.8323540642979792,0.8762343718113417
1,RandomForest,4,"['rate', 'sload', 'ct_state_ttl', 'sttl']",0.8817481047333885,0.8250172205231305,0.9134506971069766
2,MI,4,"['dttl', 'dbytes', 'sttl', 'sbytes']",0.8931680965999365,0.840903902868789,0.8468664835843941
2,ANOVA,4,"['ct_dst_sport_ltm', 'dload', 'ct_state_ttl', 'sttl']",0.8759626619093684,0.8054641733261443,0.9162994402734083
2,L1,4,"['swin', 'dttl', 'proto', 'dload']",0.9220846598278505,0.8326558964700668,0.8778320424573328
2,RandomForest,4,"['sload', 'rate', 'ct_state_ttl', 'sttl']",0.8818004562311231,0.8252490124678069,0.9131929952608313
3,MI,4,"['dttl', 'dbytes', 'sttl', 'sbytes']",0.8917418105863772,0.8401751269061715,0.8485042018853717
3,ANOVA,4,"['ct_dst_sport_ltm', 'dload', 'ct_state_ttl', 'sttl']",0.882257203163543,0.824295881841004,0.9178241335255666
3,L1,4,"['dwin', 'dttl', 'proto', 'dload']",0.9209419581325763,0.8300876259268126,0.8231382574174124
3,RandomForest,4,"['rate', 'sload', 'ct_state_ttl', 'sttl']",0.880848998774009,0.8253496933533877,0.9150801343182704
