lambda,model,feature_count,features,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,mcc
0.0,LogisticRegression,4,"['sttl', 'dttl', 'ct_state_ttl', 'state']",0.7745226643346451,0.7498926872253,0.7114843725310496,0.9932718609370864,0.8290891012539358,0.8586013188583448,0.8373036486125935,0.5895642373277352
0.0,RandomForest,4,"['sttl', 'dttl', 'ct_state_ttl', 'state']",0.8069887771461886,0.7860267277336457,0.742900516476082,0.9931615635753993,0.8499929201869071,0.8905145628289545,0.8585828844407303,0.6456140658974231
0.25,LogisticRegression,4,"['sttl', 'dttl', 'ct_state_ttl', 'rate']",0.7644172375261138,0.7383712609194388,0.701547977992602,0.9957425218388776,0.8231486040447143,0.764040069839097,0.7475680122310098,0.5738842840882643
0.25,RandomForest,4,"['sttl', 'dttl', 'ct_state_ttl', 'rate']",0.7708545887382792,0.753739823428829,0.7313299769246906,0.9228580252360363,0.8160060856674729,0.8766381954397705,0.8684548811640065,0.5481883103971977
0.5,LogisticRegression,4,"['sttl', 'ct_state_ttl', 'dpkts', 'rate']",0.7194408006607395,0.7030471011468541,0.6978200907554053,0.8650401482396541,0.7724841667733706,0.8183690603380226,0.7693150529873374,0.4339636812443583
0.5,RandomForest,4,"['sttl', 'ct_state_ttl', 'dpkts', 'rate']",0.794891415245591,0.7858703797329492,0.7794918151983807,0.8750110297361687,0.8244941227824026,0.8850501984160106,0.8727948571742172,0.5853602569848192
0.75,LogisticRegression,4,"['sttl', 'dinpkt', 'dpkts', 'rate']",0.7406354758781519,0.727033037935138,0.7215098662330943,0.8614444542486543,0.7852919884169884,0.846826611951226,0.8268715050187534,0.47592801306826876
0.75,RandomForest,4,"['sttl', 'dinpkt', 'dpkts', 'rate']",0.7778749453432444,0.7653284595810846,0.7523514481934906,0.8893055678108179,0.8151158558777144,0.8645992348344109,0.8563913783281163,0.5537270634432359
1.0,LogisticRegression,4,"['sttl', 'dinpkt', 'dpkts', 'rate']",0.7406354758781519,0.727033037935138,0.7215098662330943,0.8614444542486543,0.7852919884169884,0.846826611951226,0.8268715050187534,0.47592801306826876
1.0,RandomForest,4,"['sttl', 'dinpkt', 'dpkts', 'rate']",0.7778749453432444,0.7653284595810846,0.7523514481934906,0.8893055678108179,0.8151158558777144,0.8645992288723914,0.8563913789446802,0.5537270634432359
