fold,method,features,selected,f1,balanced_accuracy,roc_auc
1,MI-4,4,"['dttl', 'dbytes', 'sttl', 'sbytes']",0.9508280384801857,0.9325658548491229,0.9834167904187662
1,ANOVA-4,4,"['ct_dst_sport_ltm', 'dload', 'ct_state_ttl', 'sttl']",0.9281323996171091,0.888887713920644,0.9520221876828693
1,L1-4,4,"['dload', 'swin', 'proto', 'dttl']",0.9243826191761559,0.8808374933942544,0.9322932999230272
1,RF-4,4,"['rate', 'sload', 'ct_state_ttl', 'sttl']",0.9442062257301509,0.9167650798521886,0.9803462529744202
1,QAOA-4,4,"['sttl', 'ct_state_ttl', 'dload', 'rate']",0.9391585436139023,0.9026421534489405,0.9605057162979447
2,MI-4,4,"['dttl', 'dbytes', 'sttl', 'sbytes']",0.9507115185455104,0.9337190063913694,0.9846430902992656
2,ANOVA-4,4,"['ct_dst_sport_ltm', 'dload', 'ct_state_ttl', 'sttl']",0.9283879740142016,0.8890144455242033,0.9523689379819577
2,L1-4,4,"['dload', 'swin', 'proto', 'dttl']",0.9249049548927841,0.881244039813661,0.933163067304632
2,RF-4,4,"['sload', 'rate', 'ct_state_ttl', 'sttl']",0.94471815861947,0.9167500840253795,0.9803210312205424
2,QAOA-4,4,"['sttl', 'ct_state_ttl', 'dload', 'rate']",0.939425025646158,0.9020646676665949,0.9610390414543071
3,MI-4,4,"['dttl', 'dbytes', 'sttl', 'sbytes']",0.9513157390738116,0.9337909475249163,0.984691842099935
3,ANOVA-4,4,"['ct_dst_sport_ltm', 'dload', 'ct_state_ttl', 'sttl']",0.9282762096774193,0.8894302926167827,0.952908914628603
3,L1-4,4,"['dload', 'swin', 'proto', 'dttl']",0.9246466042595967,0.8818290722440387,0.933008239531773
3,RF-4,4,"['rate', 'sload', 'ct_state_ttl', 'sttl']",0.9459548150952922,0.9181000703753942,0.9808965066272936
3,QAOA-4,4,"['sttl', 'ct_state_ttl', 'dload', 'rate']",0.9408084936696242,0.9016539977786288,0.9597838614286356
