,sttl,dttl,ct_state_ttl,dload,dinpkt,dpkts,state,rate,sload,dmean,dur,smean
sttl,0.0,0.6291469418991964,0.5995573234349225,0.4500430328160776,0.3664296449018781,0.399275074013021,0.33586184753888865,0.3245152760935468,0.28974424699210777,0.37963882459833176,0.26285658693258473,0.20767201467299679
dttl,0.6291469418991964,0.0,0.953379941822738,0.6383259032295677,0.6449563658023023,0.6647556437701727,0.7262137458718088,0.49582283605308747,0.4522425253517647,0.5941800758488387,0.45621119906956237,0.28039622463328046
ct_state_ttl,0.5995573234349225,0.953379941822738,0.0,0.6295078317253049,0.6492177277195939,0.6542611660163504,0.718182669994234,0.48294972688297927,0.4379936583911119,0.600718626439682,0.4394933222260283,0.2738540182364821
dload,0.4500430328160776,0.6383259032295677,0.6295078317253049,0.0,0.6171929635843953,0.5472705656335267,0.5620055757046591,0.4870785234311074,0.39324244384477747,0.5643339351370876,0.4073143620352987,0.24029794561590356
dinpkt,0.3664296449018781,0.6449563658023023,0.6492177277195939,0.6171929635843953,0.0,0.553531068221291,0.5844808650259721,0.5389166539031044,0.4196732426787219,0.4851833665927918,0.4610694552420221,0.22273295059735299
dpkts,0.399275074013021,0.6647556437701727,0.6542611660163504,0.5472705656335267,0.553531068221291,0.0,0.7411104406810252,0.39808056108377027,0.3761981488049541,0.6115229302640248,0.40482565299216844,0.2870053464306133
state,0.33586184753888865,0.7262137458718088,0.718182669994234,0.5620055757046591,0.5844808650259721,0.7411104406810252,0.0,0.4285791674254457,0.4214556409291156,0.5952609038615241,0.4521261309074212,0.2994931317200727
rate,0.3245152760935468,0.49582283605308747,0.48294972688297927,0.4870785234311074,0.5389166539031044,0.39808056108377027,0.4285791674254457,0.0,0.586818693858075,0.35601241660575755,0.5642743019110343,0.22021448583140169
sload,0.28974424699210777,0.4522425253517647,0.4379936583911119,0.39324244384477747,0.4196732426787219,0.3761981488049541,0.4214556409291156,0.586818693858075,0.0,0.33082401318388116,0.4939368810081811,0.30349380127674613
dmean,0.37963882459833176,0.5941800758488387,0.600718626439682,0.5643339351370876,0.4851833665927918,0.6115229302640248,0.5952609038615241,0.35601241660575755,0.33082401318388116,0.0,0.3457674760338769,0.26306920086700175
dur,0.26285658693258473,0.45621119906956237,0.4394933222260283,0.4073143620352987,0.4610694552420221,0.40482565299216844,0.4521261309074212,0.5642743019110343,0.4939368810081811,0.3457674760338769,0.0,0.2096997326692022
smean,0.20767201467299679,0.28039622463328046,0.2738540182364821,0.24029794561590356,0.22273295059735299,0.2870053464306133,0.2994931317200727,0.22021448583140169,0.30349380127674613,0.26306920086700175,0.2096997326692022,0.0
