,relevance
sttl,0.49170128040604244
dttl,0.40612532672714985
ct_state_ttl,0.4055565413825126
dload,0.23947998348490734
dinpkt,0.23585682834390945
dpkts,0.2239753551361565
state,0.22058288054185013
rate,0.2162841679966978
sload,0.2001088817590863
dmean,0.17197694299911706
dur,0.15980652925544833
smean,0.15820747949701014
tcprtt,0.14738471293224342
ct_dst_sport_ltm,0.1472057626428946
sinpkt,0.14695623207524805
ackdat,0.14665635850594094
synack,0.1458713114578565
dbytes,0.14070471333525753
sbytes,0.12692690376389118
proto,0.11867641407379051
dloss,0.1072949559850949
ct_dst_ltm,0.0954524950151751
spkts,0.09518422789968539
sloss,0.09509014076180927
ct_src_dport_ltm,0.0842548525607105
ct_srv_dst,0.07481951271453464
ct_src_ltm,0.0746861392259503
ct_dst_src_ltm,0.07452673405710798
ct_srv_src,0.06350052388194416
stcpb,0.049522118708701116
dtcpb,0.0488209658324015
service,0.04577808641588111
djit,0.033568517457783414
sjit,0.015757626660575313
ct_flw_http_mthd,0.0005844389372458691
trans_depth,0.0005844389372458691
dwin,0.0
swin,0.0
response_body_len,0.0
is_ftp_login,0.0
ct_ftp_cmd,0.0
is_sm_ips_ports,0.0
